"PEILDATUM_LEERLINGEN";"PRIKDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"VSO";"PRO";"VMBO_B";"VMBO_B_K";"VMBO_K";"VMBO_K_GT";"VMBO_GT";"VMBO_GT_HAVO";"HAVO";"HAVO_VWO";"VWO";"ADVIES_NIET_MOGELIJK"
"20241001";"20250904";"10VM";"00";"Basisschool De Kei";"1777AC";"HIPPOLYTUSHOEF";"1911";"Hollands Kroon";"Noord-Holland";"Bo";"Openbaar";"41438";"0";"0";"0";"<5";"0";"<5";"<5";"6";"<5";"<5";"<5";"0"
"20241001";"20250904";"10VP";"00";"De Blauwe Morgenster";"1462JL";"MIDDENBEEMSTER";"0439";"Purmerend";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"<5";"0";"<5";"7";"5";"9";"15";"6";"6";"9";"0"
"20241001";"20250904";"10VR";"00";"AZC-school Oisterwijk";"5062SV";"OISTERWIJK";"0824";"Oisterwijk";"Noord-Brabant";"Bo";"Openbaar";"41611";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12"
"20241001";"20250904";"10VU";"00";"Opb Basissch de Wiekslag";"1841GR";"STOMPETOREN";"0361";"Alkmaar";"Noord-Holland";"Bo";"Openbaar";"41191";"0";"0";"0";"<5";"<5";"5";"<5";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"10VV";"00";"OBS De Kirreweie";"4328AR";"BURGH-HAAMSTEDE";"1676";"Schouwen-Duiveland";"Zeeland";"Bo";"Openbaar";"41557";"0";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"<5";"<5";"0"
"20241001";"20250904";"10WF";"00";"De Plataan";"1951CD";"VELSEN-NOORD";"0453";"Velsen";"Noord-Holland";"Bo";"Rooms-Katholiek";"26158";"0";"5";"<5";"<5";"<5";"11";"<5";"6";"<5";"<5";"<5";"0"
"20241001";"20250904";"10WG";"00";"Basisschool Valkenburg";"6301GM";"VALKENBURG LB";"0994";"Valkenburg aan de Geul";"Limburg";"Bo";"Rooms-Katholiek";"41506";"0";"0";"0";"0";"<5";"<5";"5";"5";"<5";"6";"10";"0"
"20241001";"20250904";"10WH";"00";"Basisschool de Vlashof";"5011JB";"TILBURG";"0855";"Tilburg";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40971";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0"
"20241001";"20250904";"10WI";"00";"Prins Mauritsschool";"2628GJ";"DELFT";"0503";"Delft";"Zuid-Holland";"Bo";"Reformatorisch";"26613";"0";"0";"0";"6";"<5";"0";"5";"5";"5";"8";"24";"0"
"20241001";"20250904";"10WN";"00";"Bs `t Carillon";"7141BV";"GROENLO";"1586";"Oost Gelre";"Gelderland";"Bo";"Rooms-Katholiek";"40812";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"<5";"0"
"20241001";"20250904";"10WO";"00";"Basisschool de Hussel";"1613AL";"GROOTEBROEK";"0532";"Stede Broec";"Noord-Holland";"Bo";"Rooms-Katholiek";"28563";"<5";"0";"<5";"<5";"<5";"<5";"<5";"7";"6";"<5";"7";"<5"
"20241001";"20250904";"10WQ";"00";"Moerschans";"4561ZX";"HULST";"0677";"Hulst";"Zeeland";"Bo";"Rooms-Katholiek";"40803";"0";"<5";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5"
"20241001";"20250904";"10WT";"00";"De Cirkel";"1188AM";"AMSTELVEEN";"0362";"Amstelveen";"Noord-Holland";"Bo";"Rooms-Katholiek";"40020";"0";"0";"0";"<5";"<5";"<5";"10";"6";"5";"7";"21";"6"
"20241001";"20250904";"10WU";"00";"De Dassenburcht";"5671VP";"NUENEN";"0820";"Nuenen c.a.";"Noord-Brabant";"Bo";"Interconfessioneel";"40557";"0";"0";"0";"<5";"<5";"<5";"<5";"6";"8";"11";"22";"0"
"20241001";"20250904";"10WW";"00";"KC De Samenstroom";"5421VA";"GEMERT";"1652";"Gemert-Bakel";"Noord-Brabant";"Bo";"Samenwerking PC, RK";"32580";"0";"<5";"0";"5";"<5";"17";"0";"16";"<5";"15";"6";"0"
"20241001";"20250904";"10XB";"00";"RK Basissch JF Kennedy";"7203JD";"ZUTPHEN";"0301";"Zutphen";"Gelderland";"Bo";"Rooms-Katholiek";"42616";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"7";"0"
