"PEILDATUM";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"GEMEENTENUMMER";"GEMEENTENAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"REKENEN_LAGER1F";"REKENEN_1F";"REKENEN_1S";"REKENEN_2F";"LV_LAGER1F";"LV_1F";"LV_2F";"TV_LAGER1F";"TV_1F";"TV_2F"
"20231001";"15YY";"00";"De Stevenshof";"2331DV";"LEIDEN";"546";"Leiden";"Zuid-Holland";"Bo";"Openbaar";"42504";"0";"9";"17";"0";"0";"5";"21";"0";"12";"14"
"20231001";"15ZB";"00";"Obs De Hovenschool";"7419AP";"DEVENTER";"150";"Deventer";"Overijssel";"Bo";"Openbaar";"41862";"<5";"10";"11";"0";"0";"5";"18";"<5";"12";"9"
"20231001";"15ZC";"00";"SWS  De Sprang";"8309AM";"TOLLEBEEK";"171";"Noordoostpolder";"Flevoland";"Bo";"Openbaar";"40662";"0";"<5";"11";"0";"0";"<5";"11";"<5";"<5";"7"
"20231001";"15ZD";"00";"RK BS De Achtsprong";"2722BN";"ZOETERMEER";"637";"Zoetermeer";"Zuid-Holland";"Bo";"Rooms-Katholiek";"40377";"0";"8";"<5";"0";"0";"5";"5";"<5";"5";"<5"
"20231001";"15ZE";"00";"De Spreng";"9203GC";"DRACHTEN";"90";"Smallingerland";"Friesland";"Bo";"Protestants-Christelijk";"40342";"8";"14";"<5";"0";"<5";"10";"12";"<5";"17";"6"
"20231001";"15ZF";"00";"Juliana V Stolbergschool";"7902JD";"HOOGEVEEN";"118";"Hoogeveen";"Drenthe";"Bo";"Protestants-Christelijk";"69877";"7";"11";"6";"0";"<5";"8";"15";"<5";"10";"10"
"20231001";"15ZH";"00";"Nassauschool";"1223NS";"HILVERSUM";"402";"Hilversum";"Noord-Holland";"Bo";"Protestants-Christelijk";"75753";"0";"6";"7";"0";"0";"5";"8";"0";"6";"7"
"20231001";"15ZJ";"00";"RK BS De Zevensprong";"7323HW";"APELDOORN";"200";"Apeldoorn";"Gelderland";"Bo";"Rooms-Katholiek";"42818";"<5";"10";"10";"0";"0";"7";"15";"0";"<5";"19"
"20231001";"15ZK";"00";"BS De Verrekijker";"1788MJ";"JULIANADORP";"400";"Den Helder";"Noord-Holland";"Bo";"Protestants-Christelijk";"79874";"0";"14";"13";"0";"0";"<5";"25";"0";"14";"13"
"20231001";"15ZM";"00";"Kbs De Parel";"4812JC";"BREDA";"758";"Breda";"Noord-Brabant";"Bo";"Rooms-Katholiek";"41407";"<5";"8";"<5";"0";"0";"7";"5";"0";"7";"5"
"20231001";"15ZP";"00";"Wilbertschool";"7556WS";"HENGELO OV";"164";"Hengelo";"Overijssel";"Bo";"Openbaar";"65287";"<5";"11";"5";"0";"0";"6";"13";"<5";"8";"10"
"20231001";"15ZX";"00";"De Brege";"8517HZ";"SCHARSTERBRUG";"1940";"De Fryske Marren";"Friesland";"Bo";"Openbaar";"41573";"<5";"<5";"<5";"0";"0";"<5";"<5";"<5";"<5";"<5"
"20231001";"15ZZ";"00";"Diamant";"2592GD";"'S-GRAVENHAGE";"518";"'s-Gravenhage";"Zuid-Holland";"Bo";"Rooms-Katholiek";"20281";"5";"21";"<5";"0";"<5";"15";"12";"<5";"20";"5"
"20231001";"16AA";"00";"PC BS De Stromen";"2403CM";"ALPHEN AAN DEN RIJN";"484";"Alphen aan den Rijn";"Zuid-Holland";"Bo";"Protestants-Christelijk";"40530";"<5";"29";"12";"0";"<5";"12";"31";"<5";"24";"18"
"20231001";"16AA";"03";"Basisschool De Viergang";"2445AE";"AARLANDERVEEN";"484";"Alphen aan den Rijn";"Zuid-Holland";"Bo";"Protestants-Christelijk";"40530";"0";"<5";"<5";"0";"0";"<5";"<5";"0";"<5";"<5"
"20231001";"16AB";"00";"RK Basissch Past V Ars";"6841GD";"ARNHEM";"202";"Arnhem";"Gelderland";"Bo";"Rooms-Katholiek";"40812";"0";"8";"20";"0";"0";"9";"19";"0";"7";"21"
"20231001";"16AD";"00";"IKC De Boomgaard";"1055NK";"AMSTERDAM";"363";"Amsterdam";"Noord-Holland";"Bo";"Rooms-Katholiek";"41023";"<5";"7";"42";"0";"0";"<5";"47";"0";"8";"42"
"20231001";"16AF";"00";"KBS Ludger";"3553SR";"UTRECHT";"344";"Utrecht";"Utrecht";"Bo";"Rooms-Katholiek";"77195";"7";"19";"16";"0";"<5";"9";"32";"8";"14";"20"
"20231001";"16AH";"00";"OBS 't Eenspan";"7822HG";"EMMEN";"114";"Emmen";"Drenthe";"Bo";"Openbaar";"42830";"<5";"11";"18";"0";"0";"5";"27";"0";"11";"21"
"20231001";"16AJ";"00";"OBS Wheermolen";"1443XA";"PURMEREND";"439";"Purmerend";"Noord-Holland";"Bo";"Openbaar";"41434";"<5";"22";"10";"0";"0";"14";"22";"<5";"14";"21"
"20231001";"16AK";"00";"De Windroos";"8231BG";"LELYSTAD";"995";"Lelystad";"Flevoland";"Bo";"Openbaar";"42552";"<5";"11";"14";"0";"0";"5";"21";"0";"10";"16"
"20231001";"16AP";"00";"obs De Oosterenk";"8023DJ";"ZWOLLE";"193";"Zwolle";"Overijssel";"Bo";"Openbaar";"42623";"<5";"11";"<5";"0";"0";"5";"12";"<5";"13";"<5"
"20231001";"16AR";"00";"OBS Ter Cleeff";"2023DN";"HAARLEM";"392";"Haarlem";"Noord-Holland";"Bo";"Openbaar";"41853";"5";"48";"68";"0";"0";"18";"103";"<5";"39";"80"
"20231001";"16AU";"00";"Lorentz";"2313GG";"LEIDEN";"546";"Leiden";"Zuid-Holland";"Bo";"Openbaar";"42504";"<5";"27";"73";"0";"0";"12";"91";"<5";"26";"76"
"20231001";"16AY";"00";"PCBO 't Foarhus";"9205BN";"DRACHTEN";"90";"Smallingerland";"Friesland";"Bo";"Protestants-Christelijk";"40342";"<5";"10";"7";"0";"<5";"5";"14";"<5";"9";"8"
"20231001";"16AZ";"00";"'t Kofschip";"7908EE";"HOOGEVEEN";"118";"Hoogeveen";"Drenthe";"Bo";"Protestants-Christelijk";"69877";"<5";"32";"11";"0";"0";"10";"37";"0";"18";"29"
"20231001";"16BA";"00";"ICBS De Vuurvogel";"1509GL";"ZAANDAM";"479";"Zaanstad";"Noord-Holland";"Bo";"Algemeen bijzonder";"41251";"7";"17";"<5";"0";"<5";"9";"17";"<5";"15";"8"
"20231001";"16BC";"00";"Basisschool De Kameleon";"1788ES";"JULIANADORP";"400";"Den Helder";"Noord-Holland";"Bo";"Samenwerking PC, RK";"55238";"<5";"10";"11";"0";"0";"6";"16";"0";"10";"12"
"20231001";"16BD";"00";"Montessori Bassissch";"1601ED";"ENKHUIZEN";"388";"Enkhuizen";"Noord-Holland";"Bo";"Algemeen bijzonder";"40558";"0";"5";"<5";"0";"0";"<5";"7";"0";"<5";"5"
"20231001";"16BE";"00";"RK BS De Westhoek";"4901KJ";"OOSTERHOUT NB";"826";"Oosterhout";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40278";"<5";"21";"20";"0";"0";"<5";"41";"0";"20";"24"
"20231001";"16BH";"00";"IKC Aventurijn";"7555KA";"HENGELO OV";"164";"Hengelo";"Overijssel";"Bo";"Openbaar";"65287";"<5";"9";"19";"0";"<5";"5";"25";"<5";"14";"13"
